id,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
0x165,20,C0,00,00,00,00,00,00
0x047,64,07,AA,66,EC,3E,00,00
0x204,C0,00,7D,00,00,00,00,00
0x333,00,B0,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x415,00,00,C4,FB,80,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x077,00,00,0F,FE,00,0F,FB,FE
0x14A,00,00,7F,FE,00,00,00,00
0x3EB,0B,04,14,03,39,20,00,00
0x217,00,00,00,00,00,00,00,00
0x200,00,00,80,01,80,01,00,00
0x4B0,41,00,00,00,38,1B,F8,7A
0x231,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x242,00,87,3F,FF,BF,00,00,01
0x4B0,41,00,00,00,58,1C,08,76
0x084,16,00,01,4A,18,34,0F,00
0x333,00,B0,00,00,00,00,00,00
0x200,00,00,80,01,80,01,00,00
0x4B0,41,00,00,00,68,1C,28,71
0x230,00,00,00,00,FE,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x326,01,90,02,B2,81,90,00,00
0x421,04,00,14,00,00,00,4A,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x4B0,41,00,00,00,88,1C,08,73
0x204,C0,00,7D,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x167,00,80,00,00,00,19,F0,00
0x416,8E,00,EF,E4,C0,02,0F,FF
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x214,6F,66,00,00,00,00,20,A0
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x242,00,87,3F,FF,BF,00,00,01
0x4B0,41,00,00,00,B8,1C,38,6A
0x42C,80,00,00,00,00,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x156,98,9C,00,00,03,00,00,00
0x415,00,00,F0,F0,80,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x213,FF,FF,00,00,00,11,FF,41
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x435,28,20,10,97,D3,20,09,42
0x204,C0,00,7D,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x455,00,00,00,00,00,00,00,00
0x4B0,41,00,00,00,F8,1C,10,6B
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x07D,03,83,79,01,C3,3F,EF,FE
0x230,00,00,00,00,FE,00,00,00
0x42C,80,00,00,00,00,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x167,00,80,00,00,00,19,F0,00
0x43D,10,00,06,00,00,00,00,00
0x167,00,80,00,00,00,19,F0,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x415,00,00,C8,FA,80,00,00,00
0x231,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x076,3F,A4,C0,00,0F,FF,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x43E,00,37,10,8C,9D,40,78,00
0x217,00,00,00,00,00,00,00,00
0x202,04,00,00,00,20,00,00,00
0x4B0,41,00,00,00,48,1C,30,72
0x047,64,07,AA,66,EC,3E,00,00
0x333,00,B0,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x076,3F,A4,C0,00,0F,FF,00,00
0x4B0,41,00,00,00,68,1C,38,6F
0x42F,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x167,00,80,00,00,00,19,EF,00
0x4B0,41,00,00,00,78,1C,38,6E
0x231,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x216,05,03,01,01,AA,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x171,15,00,A0,00,00,00,00,00
0x242,00,87,3F,FF,BF,00,00,01
0x4B0,41,00,00,00,98,1C,38,6C
0x42F,00,00,00,00,00,00,00,00
0x333,00,B0,00,00,00,00,00,00
0x167,00,80,00,00,00,19,EF,00
0x4B0,41,00,00,00,A8,1C,28,6D
0x446,00,00,00,00,00,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x326,01,90,02,B3,81,90,00,00
0x242,00,87,3F,FF,BF,00,00,01
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x4B0,41,00,00,00,C8,1C,50,66
0x42F,00,00,00,00,00,00,00,00
0x3DA,01,00,00,00,00,00,00,00
0x165,20,C0,00,00,00,00,00,00
0x415,00,00,F4,EF,80,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x213,FF,FF,00,00,00,11,FF,41
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x333,00,B0,00,00,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x4B0,41,00,00,00,F8,1C,48,64
0x204,C0,00,7D,00,00,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x326,01,90,02,B2,81,90,00,00
0x217,00,00,00,00,00,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x07D,03,8A,71,11,C5,3F,EF,FE
0x14A,00,00,7F,FE,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x041,00,00,00,00,00,00,00,00
0x434,23,D8,14,00,05,03,00,23
0x167,00,80,00,00,00,19,F0,00
0x217,00,00,00,00,00,00,00,00
0x455,00,00,00,00,00,00,00,00
0x415,00,00,CC,F9,80,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x077,00,00,0F,FE,00,0F,FB,FE
0x14A,00,00,7F,FE,00,00,00,00
0x42C,80,00,00,00,00,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x167,00,80,00,00,00,19,F0,00
0x43D,10,00,06,00,00,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x231,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x3B7,00,00,02,00,68,55,FB,0F
0x42F,00,00,00,00,00,00,00,00
0x43E,00,37,10,8C,9D,40,78,00
0x217,00,00,00,00,00,00,00,00
0x200,00,00,80,01,80,01,00,00
0x4B0,41,00,00,00,88,1C,48,6B
0x230,00,00,00,00,FE,00,00,00
0x333,00,B0,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x216,05,03,01,01,AA,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x202,04,00,00,00,20,00,00,00
0x4B0,41,00,00,00,A8,1C,48,69
0x204,C0,00,7D,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x083,0F,E0,80,00,00,90,00,00
0x4B0,41,00,00,00,B8,1C,18,6E
0x231,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x214,6F,66,00,00,00,00,1E,C0
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x42F,00,00,00,00,00,00,00,00
0x4B0,41,00,00,00,D8,1C,58,64
0x204,C0,00,7D,00,00,00,00,00
0x333,00,B0,00,00,00,00,00,00
0x165,20,C0,00,00,00,00,00,00
0x4B0,41,00,00,00,E8,1C,38,67
0x230,00,00,00,00,FE,00,00,00
0x332,00,6F,F2,04,2C,00,00,00
0x326,01,90,02,B3,81,90,00,00
0x07D,03,8A,63,F1,C5,BF,EF,FE
0x172,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x4B0,41,00,00,00,08,1C,48,73
0x204,C0,00,7D,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x172,00,00,00,00,00,00,00,00
0x217,00,00,00,00,00,00,00,00
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x07D,03,8D,6D,21,C6,BF,EF,FE
0x171,15,00,A0,00,00,00,00,00
0x204,C0,00,7D,00,00,00,00,00
0x333,00,B0,00,00,00,00,00,00
0x041,00,00,00,00,00,00,00,00
0x4B0,41,00,00,00,38,1C,60,6D
0x167,00,80,00,00,00,19,F0,00
0x332,00,6F,F2,04,2C,00,00,00
0x326,01,90,02,B3,81,90,00,00
0x213,FF,FF,00,00,00,11,FF,41
0x230,00,00,00,00,FE,00,00,00
0x217,00,00,00,00,00,00,00,00
0x14A,00,00,7F,FE,00,00,00,00
0x076,3F,A4,C0,00,0F,FF,00,00
0x05C,03,00,00,00,00,00,00,00
