0x4B0,4F,00,00,00,90,09,F0,B7,
0x333,00,18,00,00,00,00,00,00,
0x217,00,00,00,00,00,00,00,00,
0x076,3F,68,C0,00,0F,FF,00,00,
0x213,FF,FF,00,14,01,11,FF,41,
0x085,6B,22,00,00,CE,00,6A,3A,
0x42C,80,00,00,00,49,D0,00,00,
0x217,00,00,00,00,00,00,00,00,
0x165,20,C0,00,00,00,00,00,00,
0x204,C0,00,7D,00,00,00,00,00,
0x37B,00,20,00,04,00,00,00,00,
0x435,28,20,18,9D,57,30,09,42,
0x416,92,00,FB,EC,00,02,0F,FF,
0x085,6B,22,00,00,CC,20,6A,3A,
0x4B0,4B,00,00,00,B0,0C,30,6D,
0x41D,00,00,E0,00,00,00,00,00,
0x082,7E,00,14,40,83,00,20,FF,
0x3A3,80,00,00,00,00,00,00,00,
0x076,3F,68,C0,00,0F,FF,00,00,
0x204,C0,00,7D,00,00,00,00,00,
0x085,6B,22,00,00,CA,40,6A,3A,
0x077,00,00,0F,FE,00,0F,FB,FE,
0x4B0,4B,00,00,00,C0,0D,88,41,
0x202,04,00,00,00,20,00,00,00,
0x468,00,00,00,00,00,00,00,00,
0x469,00,00,00,00,00,00,00,00,
0x213,FF,FF,00,14,01,11,FF,41,
0x43E,00,63,00,8C,9D,40,68,00,
0x332,00,51,B4,9F,14,00,00,00,
0x4B0,49,00,00,00,D0,0F,00,11,
0x41D,00,00,E0,00,00,00,00,00,
0x041,00,00,00,00,00,00,00,00,
0x217,00,00,00,00,00,00,00,00,
0x076,3F,68,C0,00,0F,FF,00,00,
0x204,C0,00,7D,00,00,00,00,00,
0x085,6B,22,00,00,C6,80,6A,3A,
0x326,01,90,01,AA,81,90,00,00,
0x41D,00,00,E0,00,00,00,00,00,
0x082,7E,00,14,40,83,00,20,FF,
0x333,00,18,00,00,00,00,00,00,
0x076,3F,68,C0,00,0F,FF,00,00,
0x217,00,00,00,00,00,00,00,00,
0x42C,80,00,00,00,49,D0,00,00,
0x077,00,00,0F,FE,00,0F,FB,FE,
0x217,00,00,00,00,00,00,00,00,
0x167,00,80,00,00,00,19,F2,00,
0x424,00,00,00,01,00,00,00,00,
0x435,28,20,10,95,57,30,09,42,
0x07D,02,4E,AF,01,1E,BF,EF,FE,
0x42F,00,00,00,00,00,00,00,00,
0x415,00,00,FC,ED,8F,FE,0F,FE,
0x4B0,43,00,00,00,00,12,70,AF,
0x41D,00,00,E0,00,00,00,00,00,
0x041,00,00,00,00,00,00,00,00,
0x242,00,23,1E,E0,C9,00,03,01,
0x076,3F,68,C0,00,0F,FF,00,00,
0x167,00,80,00,00,00,19,F2,00,
0x085,6B,22,00,00,C0,E0,6A,3A,
0x4B0,43,00,00,00,10,13,88,8B,
0x415,00,00,C4,FB,8F,FE,0F,FE,
0x230,00,00,00,00,8A,00,00,00,
0x42C,80,00,00,00,49,D0,00,00,
0x076,3F,68,C0,00,0F,FF,00,00,
0x217,00,00,00,00,00,00,00,00,
0x43E,00,63,00,8C,9D,40,68,00,
0x332,00,51,B4,9F,14,00,00,00,
0x4B0,41,00,00,00,20,14,70,6D,
0x200,00,00,80,1C,80,1C,00,00,
0x242,00,23,1E,B8,C8,00,03,01,
0x076,3F,68,C0,00,0F,FF,00,00,
0x455,00,00,00,00,00,00,00,00,
0x085,6B,22,00,00,CC,20,6A,3A,
0x326,01,90,01,AA,81,90,00,00,
0x4B0,3F,00,00,00,30,15,00,5A,
0x41D,00,00,E0,00,00,00,00,00,
0x041,00,00,00,00,00,00,00,00,
0x333,00,18,00,00,00,00,00,00,
0x076,3F,68,C0,00,0F,FF,00,00,
0x167,00,80,00,00,00,19,F2,00,
0x42C,80,00,00,00,49,D0,00,00,
0x217,00,00,00,00,00,00,00,00,
0x41D,00,00,E0,00,00,00,00,00,
0x179,00,00,00,00,58,3E,01,80,
0x424,00,00,00,01,00,00,00,00,
0x439,B3,11,00,18,00,01,00,00,
0x216,B3,65,1E,DB,AA,00,00,00,
0x085,6B,22,00,00,C8,60,6A,3A,
0x217,00,00,00,00,00,00,00,00,
